,diving_save,goals_conceded,minutes_played,punches,saves,saves_inside_box,throws,accurate_passes,pass_success,total_shots,shot_accuracy,shot_off_target,shot_on_target,accurate_long_balls,key_passes,long_balls,passes,touches,aerials_lost,aerials_won,clearances,dispossessed,dribbles_attempted,dribbles_succeeded,duels_lost,duels_won,fouls,interceptions,recoveries,tackles_attempted,tackles_succeeded,was_fouled,is_a_sub,was_subbed,yellow_card,red_card,rating
82,1,0,0.7478991596638656,0,1,0,3,19,0.76,0,0.0,0,0,5,0,11,25,30,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7.3
83,0,0,0.7478991596638656,0,0,0,6,14,0.9333333333333332,0,0.0,0,0,2,0,3,15,22,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6.8
84,4,0,0.7478991596638656,1,9,5,3,11,0.3793103448275862,0,0.0,0,0,10,0,28,29,43,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7.3
85,2,0,0.7478991596638656,0,4,3,3,18,0.6666666666666666,0,0.0,0,0,9,0,18,27,35,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7.5
86,0,0,0.7478991596638656,0,3,3,8,19,0.76,0,0.0,0,0,10,0,15,25,39,0,1,0,0,0,0,0,1,0,0,12,0,0,1,0,0,0,0,6.3
87,1,0,0.7478991596638656,0,3,2,7,7,0.2916666666666667,0,0.0,0,0,3,0,20,24,34,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,6.0
88,2,0,0.7478991596638656,0,3,1,0,12,0.5217391304347826,0,0.0,0,0,11,0,22,23,26,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,7.7
89,0,0,0.7478991596638656,0,1,0,1,16,0.8,0,0.0,0,0,3,0,6,20,22,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5.9
90,3,0,0.7478991596638656,0,4,3,3,17,0.7083333333333334,0,0.0,0,0,4,0,11,24,31,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7.1
91,1,0,0.7478991596638656,1,2,2,5,12,0.75,0,0.0,0,0,0,0,4,16,26,0,1,1,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,6.2
92,1,0,0.7478991596638656,0,5,3,12,36,0.9,0,0.0,0,0,2,0,5,40,57,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,6.3
93,2,0,0.7478991596638656,0,3,2,4,9,0.39130434782608703,0,0.0,0,0,6,0,20,23,31,0,1,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,5.1
94,1,0,0.7478991596638656,0,3,2,2,27,0.7714285714285715,0,0.0,0,0,7,0,15,35,40,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,6.4
95,4,0,0.7478991596638656,2,5,3,5,20,0.8695652173913043,0,0.0,0,0,6,0,9,23,37,0,1,2,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,8.4
96,0,0,0.7478991596638656,1,4,2,1,21,0.6774193548387096,0,0.0,0,0,9,0,19,31,39,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,5.1
97,6,0,0.7478991596638656,1,8,7,4,16,0.64,0,0.0,0,0,3,0,12,25,38,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,9.1
98,1,9,0.7478991596638656,0,6,5,0,4,0.19047619047619047,0,0.0,0,0,4,0,21,21,28,0,0,0,0,0,0,0,1,0,0,8,1,1,0,0,0,0,0,2.3
99,4,0,0.7478991596638656,1,5,3,5,9,0.375,0,0.0,0,0,9,0,23,24,40,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,8.6
100,1,0,0.7478991596638656,0,2,2,1,10,0.3703703703703704,0,0.0,0,0,5,0,22,27,31,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,6.0
101,3,0,0.7478991596638656,0,7,5,6,18,0.7826086956521741,0,0.0,0,0,4,0,9,23,36,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,7.1
102,1,0,0.7478991596638656,0,4,2,2,14,0.35,0,0.0,0,0,10,0,36,40,48,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5.6
103,2,0,0.7478991596638656,1,4,0,2,14,0.4375,0,0.0,0,0,8,0,25,32,41,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7.6
104,0,0,0.7478991596638656,0,0,0,5,27,0.9,0,0.0,0,0,3,0,6,30,36,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6.8
105,0,0,0.7478991596638656,1,3,2,7,8,0.6153846153846154,0,0.0,0,0,1,0,6,13,26,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5.5
106,0,0,0.7478991596638656,0,1,0,5,23,0.7419354838709677,0,0.0,0,0,14,0,22,31,38,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5.8
107,0,0,0.7478991596638656,0,2,0,1,22,0.9565217391304348,0,0.0,0,0,7,0,8,23,29,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,5.4
108,0,0,0.7478991596638656,2,1,0,3,5,0.1388888888888889,0,0.0,0,0,5,0,36,36,43,0,2,2,0,0,0,0,2,0,0,12,0,0,0,0,0,0,0,7.2
109,5,0,0.7478991596638656,0,8,6,5,9,0.4090909090909091,1,1.0,0,1,7,0,20,22,36,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,7.2
110,6,3,0.7478991596638656,0,6,4,5,12,0.75,0,0.0,0,0,2,0,6,16,28,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,5.8
111,0,0,0.7478991596638656,0,4,2,1,12,0.4444444444444444,0,0.0,0,0,12,0,27,27,34,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,7.5
112,1,0,0.7478991596638656,0,1,0,3,21,0.84,0,0.0,0,0,4,0,8,25,30,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7.3
113,1,0,0.7478991596638656,0,1,1,4,15,0.8823529411764706,0,0.0,0,0,3,0,5,17,24,0,1,0,0,0,0,0,1,0,0,7,0,0,1,0,0,0,0,7.4
114,1,0,0.7478991596638656,1,2,2,8,36,0.7659574468085106,0,0.0,0,0,6,0,17,47,64,0,0,3,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,6.9
115,0,0,0.7478991596638656,0,1,1,3,17,0.8095238095238095,0,0.0,0,0,3,0,7,21,27,0,0,1,0,0,0,0,1,0,0,6,0,0,1,0,0,0,0,6.3
