player_id,name,role,acted_as_sweeper,diving_save,goals_conceded,minutes_played,punches,saves,saves_inside_box,throws,accurate_passes,assists,chances_created,goals,pass_success,total_shots,blocked_shots,shot_accuracy,shot_off_target,shot_on_target,shots_woodwork,accurate_long_balls,crosses,key_passes,long_balls,passes,touches,aerials_lost,aerials_won,clearances,dispossessed,dribbles_attempted,dribbles_succeeded,duels_lost,duels_won,fouls,interceptions,recoveries,tackles_attempted,tackles_succeeded,was_fouled,is_a_sub,was_subbed,yellow_card,red_card,rating
601591,Jakub Jankto,Midfielder,,,,90,,,,,31,2,1,1,78%,3,0,33%,2,1,0,1,5,7,1,40,60,3,1,2,2,1,0,9,4,1,1,9,2,0,1,0,,,,9.1
172899,Manolo Gabbiadini,Attacker,,,,76,,,,,21,0,0,0,75%,7,1,0%,5,0,0,0,6,3,0,28,47,4,3,0,1,0,0,7,3,1,0,2,0,0,0,0,1,,,6.8
39540,Fabio Quagliarella,Attacker,,,,90,,,,,22,0,1,2,92%,10,1,60%,3,6,0,3,1,2,3,24,41,4,1,1,0,1,1,5,2,0,0,2,0,0,0,0,,,,9.1
429988,Diego Laxalt,Midfielder,,,,28,,,,,5,0,0,0,38%,0,0,0%,0,0,0,1,0,0,5,13,17,1,1,1,0,1,0,4,1,1,0,5,0,0,0,1,0,1,,5.9
597507,Simone Edera,Attacker,,,,9,,,,,1,0,0,0,100%,0,0,0%,0,0,0,0,0,0,0,1,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,,,
27659,Salvatore Sirigu,Keeper,0,3,0,90,0,4,2,3,16,,,,,0,0,0%,0,0,0,13,0,0,24,27,38,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,,1,,8.5
301023,Armando Izzo,Defender,,,,90,,,,,16,0,0,0,55%,0,0,0%,0,0,0,2,0,0,8,29,42,0,8,5,0,1,1,1,10,1,3,2,0,0,1,0,,,,7.7
149962,Nicolas N'Koulou,Defender,,,,90,,,,,12,0,0,0,75%,0,0,0%,0,0,0,3,0,0,6,16,31,3,2,4,0,0,0,5,3,2,4,5,0,0,1,0,,1,,6.9
303155,Koffi Djidji,Defender,,,,90,,,,,17,0,0,0,68%,0,0,0%,0,0,0,1,0,0,6,25,46,1,2,1,0,4,3,4,11,0,1,4,6,2,0,0,,,,7.5
25587,Lorenzo De Silvestri,Midfielder,,,,90,,,,,17,0,0,0,74%,0,0,0%,0,0,0,1,2,1,2,23,44,1,3,5,2,1,1,7,6,2,0,4,1,0,1,0,,1,,6.6
279477,Soualiho Meité,Midfielder,,,,90,,,,,20,0,0,0,65%,0,0,0%,0,0,0,1,1,1,2,31,57,2,10,4,1,9,7,9,20,2,2,8,0,0,3,0,,,,8
